name,citations,order
?enate?,63,first
Abdelmalek,784,first
Abdirad,47,last
Abiru,136,first
Abrams,431,first
Abu-Shanab,200,first
Aburada,50,last
Adams,364,first
Adar,21,first
Afdhal,104,last
Afonso,27,first
Afzali,140,first
Agarwal,28,first
Aggarwal,45,last
Agopian,97,first
Aguilar-Zapata,39,last
Ahmad,160,last
Ahmed,293,first
Aithal,343,first
Ajamieh,26,first
Akyol,88,last
Al,21,last
Al-Osaimi,39,last
Alatalo,48,last
Albano,124,last
Alberti,64,last
Ali,146,first
Alisi,188,first
Alkhouri,302,first
Allard,505,first
Allbright,37,last
Alsina,35,last
Altomare,274,last
Amarapurkar,176,first
Amato,43,first
Ampuero,21,first
An,167,last
Anandan,31,last
Anania,47,last
Anderson,21,first
Andrade,72,last
Andreoletti,22,last
Angelico,142,first
Angulo,2291,first
Anjani,22,first
Anstee,77,first
Anty,278,first
Aoyagi,47,last
Aoyama,244,first
Arab,28,first
Aramin,64,last
Aranha,57,first
Archimandritis,210,last
Arendt,34,first
Argo,518,first
Arguello,39,first
Arii,45,last
Armstrong,57,first
Arora,21,last
Arrese,156,first
Arulanandan,36,first
Arun,72,first
Arvaniti,22,first
Asano,115,first
Asanuma,68,first
Asaoka,25,first
Ascha,525,first
Ashford,106,last
Ashktorab,21,last
Ashraf,76,first
Askari,30,first
Aso,42,first
Asrih,59,first
Assy,81,first
Ataseven,26,first
Athyros,74,first
Attar,35,first
Aubert,109,first
Auguet,21,first
Avery,45,last
Ayata,108,first
Ba-Ssalamah,54,last
Baba,127,first
Bacon,3513,first
Baeck,171,first
Bagheri,36,first
Bahcecioglu,75,first
Bahrami,23,first
Bailey,364,last
Baker,310,first
Balaban,61,first
Balakrishnan,52,last
Balas,47,first
Ballestri,127,first
Balmer,72,first
Bambha,282,first
Banasch,21,first
Bantel,102,last
Baratta,20,first
Barchetta,91,first
Barr,84,first
Barreyro,124,first
Basaranoglu,268,first
Baskol,134,first
Bass,551,last
Bast,150,last
Bastati,54,first
Batteux,93,last
Batts,212,last
Baumann,27,last
Bazick,26,first
Bañares,61,last
Beath,76,first
Bechmann,211,first
Becker,21,first
Bedogni,1188,last
Bedossa,781,first
Beglinger,26,last
Begriche,549,first
Bekri,300,first
Bell,217,first
Belle,23,last
Bellentani,1416,first
Bendtsen,644,last
Benhamou,86,last
Berasain,118,first
Beraza,58,first
Berenguer,336,last
Beretta,104,last
Berg,88,last
Bergheim,22,last
Bernsmeier,52,first
Bertola,94,first
Berzigotti,57,first
Beste,100,first
Beymer,276,first
Beyo?lu,75,first
Bhagat,84,first
Bhala,77,first
Bhansali,67,last
Bieghs,335,first
Biyikli,27,last
Blackburn,31,first
Boettcher,124,first
Bohinc,42,first
Bojunga,62,last
Bonora,52,first
Boparai,330,last
Boppidi,94,first
Borlak,223,last
Bosch,57,last
Boursier,134,first
Boza,99,first
Brabant,94,last
Brault,35,last
Brenner,326,first
Brock,78,last
Brown,250,first
Bruce,208,first
Brunt,6124,first
Buckingham,94,first
Buechler,206,first
Bugianesi,23,last
Buldak,71,last
Burke,149,first
Burroughs,57,last
Burt,315,first
Busuttil,141,last
Buurman,217,last
Buzzetti,107,first
Byrne,637,first
Caballero,229,first
Caiazzo,57,first
Calamita,35,first
Caldwell,2606,first
Calès,29,first
Camilo,59,last
Campos,138,first
Canbakan,54,first
Canbay,827,last
Canet,24,first
Cao,41,last
Capeau,189,first
Capristo,34,first
Carbone,29,first
Cariou,74,first
Carpino,46,first
Carr,23,first
Carstoiu,80,last
Carter-Kent,260,first
Carulli,345,first
Casini,191,last
Cassard-Doulcier,79,last
Cassiman,20,last
Castera,481,first
Castro,150,first
Catalina,61,first
Cauble,40,first
Cavallo,91,last
Cave,337,first
Cayón,25,first
Cazanave,43,first
Ceccarelli,30,first
Celebi,29,last
Celinski,28,first
Centis,33,first
Cervinkova,40,last
Chait,208,last
Chalasani,2059,first
Chamulitrat,32,first
Chandak,25,last
Charlton,1410,first
Chatzigeorgiou,49,first
Chavakis,28,last
Chavez-Tapia,238,first
Chawla,118,last
Chayama,393,last
Chazin-Caldie,43,last
Chen,478,first
Cherkaoui-Malki,22,first
Cherrington,803,last
Cherñavsky,23,last
Chiang,86,first
Chiba,52,last
Chiesa,139,last
Chihara,72,last
Chitapanarux,22,first
Chitturi,979,first
Chojkier,183,last
Chonchol,166,last
