name,citations,order
Abdirad,47,last
Abrams,290,last
Aburada,50,last
Afdhal,104,last
Aggarwal,45,last
Aguilar-Zapata,39,last
Ahmad,160,last
Ahmed,224,last
Akyol,67,last
Al Osaimi,21,last
Alatalo,48,last
Albano,124,last
Alberti,64,last
Allard,363,last
Allbright,37,last
Al-Osaimi,39,last
Alsina,35,last
Altomare,274,last
Amarapurkar,23,last
An,113,last
Anandan,31,last
Anania,47,last
Andrade,72,last
Andreoletti,22,last
Angelico,57,last
Angulo,309,last
Aoyagi,47,last
Aoyama,210,last
Aramin,64,last
Archimandritis,210,last
Argo,145,last
Arii,90,last
Arora,21,last
Arrese,131,last
Asano,48,last
Ashford,53,last
Ashktorab,21,last
Assy,42,last
Avery,45,last
Bacon,3392,last
Bailey,364,last
Baker,92,last
Balakrishnan,52,last
Bambha,78,last
Bañares Cañizares,61,last
Bantel,102,last
Baptista,43,last
Bass,551,last
Ba-Ssalamah,54,last
Bast,150,last
Batteux,93,last
Batts,212,last
Baumann,27,last
Beath,38,last
Bedogni,396,last
Bedossa,390,last
Beglinger,52,last
Belle,23,last
Bellentani,219,last
Belt,60,last
Bendtsen,322,last
Benhamou,86,last
Berenguer,168,last
Beretta,104,last
Berg,88,last
Bergheim,22,last
Bhansali,67,last
Biyikli,27,last
Bojunga,62,last
Boparai,330,last
Borlak,223,last
Bosch,57,last
Brabant,94,last
Brault,35,last
Brenner,71,last
Brock,78,last
Brown,220,last
Brunt,1665,last
Buckingham,47,last
Buechler,35,last
Bugianesi,23,last
Buldak,71,last
Burroughs,57,last
Burt,89,last
Busuttil,141,last
Buurman,217,last
Byrne,436,last
Caldwell,426,last
Camilo,102,last
Cammà,23,last
Campos,41,last
Canbay,711,last
Cao,41,last
Capeau,110,last
Caracausi,23,last
Cariou,37,last
Carstoiu,80,last
Carulli,129,last
Casini,191,last
Cassard-Doulcier,79,last
Cassiman,20,last
Castera,83,last
Castro,34,last
Cavallo,91,last
Celebi,29,last
Cervinkova,40,last
Chait,104,last
Chalasani,1041,last
Chandak,25,last
Charbonnier,72,last
Charlton,223,last
Chatzigeorgiou,21,last
Chavakis,28,last
Chawla,118,last
Chayama,393,last
Chazin-Caldie,43,last
Chen,189,last
Chermak,72,last
Cherñavsky,23,last
Cherrington,803,last
Chiba,52,last
Chiesa,139,last
Chihara,72,last
Chitturi,331,last
Chojkier,183,last
Chonchol,166,last
Chopra,701,last
Choudhuri,127,last
Chung,23,last
Cianfarani,90,last
Ciminnisi,23,last
Clària,32,last
Clark,542,last
Clarkson,33,last
Clavien,174,last
Clement,191,last
Clément,30,last
Clements,141,last
Clouse,46,last
Clouston,331,last
Coffin,284,last
Colecchia,98,last
Colin,497,last
Colombo,32,last
Conget,34,last
Considine,122,last
Cooper,37,last
Corrêa-Giannella,41,last
Correig,76,last
